;t;H0;H1;H2;H3;H4;H5;H6;H7
4795;23975.0;0.003538517531175425;-0.0;-0.0;-0.0;0.0346164169852639;0.03619102163434987;-0.0;0.005537872450223891
4796;23980.0;0.008227900037482281;-0.0;-0.0;-0.0;0.029073622261153183;0.02873797251831952;-0.0;0.01271532580922701
4797;23985.0;0.013662284806865519;-0.0;-0.0;-0.0;0.021604938259245757;0.01947201650092946;-0.0;0.020622859011479658
4798;23990.0;0.019435809127270078;-0.0;-0.0;-0.0;0.01344600992086729;0.010313482878119572;-0.0;0.02835097099145213
4799;23995.0;0.025142610286640926;-0.0;-0.0;-0.0;0.005832482187343474;0.0031827009458297827;-0.0;0.03499016068361477
4800;24000.0;0.03037682557292298;2.0328790734103208e-20;-0.0;4.336808689942018e-19;2.168404344971009e-18;1.734723475976807e-18;1.0842021724855044e-19;0.03963092702243782
4801;24005.0;0.03476637552826898;9.255891601413495e-05;0.0005354247593278131;0.00046011778418766;-0.0;0.0020472942863328436;0.0012869317778624308;0.041627719233666316
4802;24010.0;0.03807431371166269;0.0001473614038214741;0.0010704007972711675;0.0009665751048648861;-0.0;0.008052837849581763;0.0021040368945488505;0.04139078770814396
4803;24015.0;0.040097476936295715;0.0001649571097728739;0.0014446372270700634;0.0013465819744082064;-0.0;0.016106469684262905;0.0024176058125825396;0.03959433312798927
4804;24020.0;0.04063270201535959;0.00014589568021919057;0.0014978431619645004;0.0014273484051941466;-0.0;0.02429802878489241;0.0021939289944867746;0.03691255617532062
4805;24025.0;0.0394768257620459;9.07267615112805e-05;0.0010697277151944804;0.0010360844095992363;-0.0;0.030717354145986465;0.001399296902784836;0.0340196575322565
4806;24030.0;0.036426684989546196;-0.0;1.3010426069826053e-18;-0.0;-0.0;0.033454284762061186;-0.0;0.03158983788091532
4807;24035.0;0.03143203712683737;-0.0;-0.0;-0.0;-0.0;0.0312209903567716;-0.0;0.030156330179494976
4808;24040.0;0.025054322066037624;-0.0;-0.0;-0.0;-0.0;0.025218963570328077;-0.0;0.029688496490510943
4809;24045.0;0.018007900315050493;-0.0;-0.0;-0.0;-0.0;0.017272027772079916;-0.0;0.03001473115255819
4810;24050.0;0.011007132381779495;-0.0;-0.0;-0.0;-0.0;0.009204006331376349;-0.0;0.03096342850423163
4811;24055.0;0.004766378774128155;-0.0;-0.0;-0.0;-0.0;0.0028387226175666195;-0.0;0.03236298288412621
4812;24060.0;6.505213034913027e-19;2.168404344971009e-19;-0.0;1.734723475976807e-18;0.0;-0.0;1.734723475976807e-18;0.034041788630836844
4813;24065.0;-0.0;0.00038704211820603484;0.006599360865585684;0.00659223479738836;0.005780786607111672;0.0019268519804914157;0.006619089964599877;0.03579857177437806
4814;24070.0;-0.0;0.0008096420792154397;0.014937519480720182;0.01492517163529949;0.013314799288611082;0.007519052590718543;0.014928362557028044;0.037313385110442694
4815;24075.0;-0.0;0.001125018865463877;0.02370550313959003;0.023688200471858007;0.021358741774922647;0.015091565994824719;0.023628385887175047;0.03823661312614317
4816;24080.0;-0.0;0.0011903914593870074;0.03159433913638175;0.03157071126518854;0.0286693177964708;0.022959356356953297;0.031419728064931415;0.03821864030859188
4817;24085.0;-0.0;0.0008629788434204953;0.03729505476528189;0.03726209397341572;0.03400323108367999;0.029437387841247643;0.03700295720018771;0.036909851144901286
4818;24090.0;-0.0;-0.0;0.03949867732047695;0.03945173855466414;0.0361171853669746;0.03284062461185108;0.03907864140283443;0.033960630122183776
4819;24095.0;0.000743382774804215;-0.0;0.03733151656569844;0.03726579911969463;0.034177341872666564;0.0319732560669811;0.03678667231430017;0.02919618688391932
4820;24100.0;0.0010242430769059716;-0.0;0.03166101214285774;0.03157748638981284;0.028987691810617694;0.027596372541151618;0.03102423570216563;0.023141031699058096
4821;24105.0;0.0009664579283908499;-0.0;0.023789886163411194;0.023696775238960636;0.021761683886577312;0.020960289602950717;0.023127840865549594;0.01649449999291783
4822;24110.0;0.0006939043513444279;-0.0;0.015020860738815166;0.014933640541079863;0.013712766806294695;0.013315322820966436;0.014433997103570807;0.009955927190816248
4823;24115.0;0.0003304593678522849;-0.0;0.006656657980525985;0.006598057170112365;0.006054389275519158;0.005911787763786848;0.006279213715348024;0.004224648718071062
4824;24120.0;-0.0;1.734723475976807e-18;2.927345865710862e-18;-0.0;-0.0;-0.0;6.505213034913027e-19;2.168404344971009e-19
4825;24125.0;-0.0;0.005477933080595716;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
4826;24130.0;-0.0;0.012402846438997578;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
4827;24135.0;-0.0;0.01968667023330616;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
4828;24140.0;-0.0;0.026241334621622033;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
4829;24145.0;-0.0;0.03097876976204579;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
4830;24150.0;-0.0;0.032810905812677975;-0.0;-0.0;-0.0;-0.0;8.673617379884035e-19;-0.0
4831;24155.0;5.557923752013405e-05;0.03101142973678362;0.0013874662616815772;0.0010683721128869235;0.0008810708658907937;0.0009305168280172275;-0.0;-0.0
4832;24160.0;7.817285940040998e-05;0.026301055718285497;0.002164573226724312;0.0014950996514371622;0.0011614086256078358;0.0012815259351931284;-0.0;-0.0
4833;24165.0;7.58463061146812e-05;0.01976225474627086;0.002372850489102865;0.0014409044125371538;0.0010272418490142028;0.0012085030637535314;-0.0;-0.0
4834;24170.0;5.666501813680102e-05;0.012477497809826911;0.002053827642791891;0.0010665081930733332;0.0006647991059729689;0.00086692395592426;-0.0;-0.0
4835;24175.0;2.8694435940622837e-05;0.005529255898040881;0.001249034281766051;0.0005326327899321367;0.00026030896634720934;0.0004122643539311408;-0.0;-0.0
4836;24180.0;-0.0;9.75781955236954e-19;-0.0;-0.0;-0.0;5.421010862427522e-20;0.0;0.0
4837;24185.0;-0.0;-0.0;-0.0;-0.0;1.503248627081178e-05;-0.0;0.005524366990878321;0.004874696969477627
4838;24190.0;-0.0;-0.0;-0.0;-0.0;0.000216293542404699;-0.0;0.012752433295803799;0.011195671891260051
4839;24195.0;-0.0;-0.0;-0.0;-0.0;0.000459601995123111;-0.0;0.020487048541686537;0.017920334586888177
4840;24200.0;-0.0;-0.0;-0.0;-0.0;0.0006007766711474983;-0.0;0.027531062355436647;0.0240060948779029
4841;24205.0;-0.0;-0.0;-0.0;-0.0;0.0004956363971993119;-0.0;0.032687324363964265;0.02841036258584514
4842;24210.0;2.710505431213761e-20;5.421010862427522e-20;1.734723475976807e-18;4.336808689942018e-19;-0.0;-0.0;0.03475868419417946;0.030090547532255773
4843;24215.0;3.472655047766171e-05;0.001147587194707332;0.0050930143514695;0.0005222776798566369;-0.0;5.897062008132085e-05;0.03293982722976146;0.02835322218115328
4844;24220.0;7.017695469976803e-05;0.0017876024260216805;0.011482104004889367;0.001043312746504213;-0.0;7.55459921006633e-05;0.0279927818814658;0.023901609566466357
4845;24225.0;9.539035721468701e-05;0.001956448508075585;0.018200610064534255;0.0014073538558925336;-0.0;6.383136608011494e-05;0.021071412316817185;0.017788095364601304
